*** 1 - 10 (/course/185945/spanish-adjectives/1/)	
primero	primary
*** 4671 - 4680 (/course/185945/spanish-adjectives/468/)	
abacial	abbatial
deletéreo	deleterious
etílico	"ethyl, ethylic, alcoholic"
irrebatible	invincible
musgoso	mossy
desparejo	odd
representable	performable
maleducado	"rude, crude, ill-mannered"
turbo	"turbo, turbocharged"
corvino	corvine
*** 4681 - 4690 (/course/185945/spanish-adjectives/469/)	
desmañado	"clumsy, gauche, impractical"
halógeno	halogen
pardillo	"innocent, gullible"
pedantesco	"pedantic, pedantical, donnish"
romboidal	rhomboid
barométrico	"barometric, barometrical"
libresco	bookish
mamón	"freeloader, cadger, idiot"
pijo	"posh, preppy"
onomatopéyico	"onomatopoeic, echoic"
*** 4691 - 4700 (/course/185945/spanish-adjectives/470/)	
cantarín	singsong
soporífero	"soporific, sleepy, sleeping pill"
travestido	transvestite
inflable	inflatable
descosido	"open seam, disconnected, disjointed"
peleón	"quarrelsome, quarreling, scrappy"
ultrasónico	ultrasonic
ventrílocuo	ventriloquist
áurico	"auric, aurous"
corpuscular	corpuscular
*** 4701 - 4710 (/course/185945/spanish-adjectives/471/)	
postoperatorio	postoperative
tornasolado	"shimmering, shot"
apolíneo	Apollonian
eurasiático	Eurasian
fotosensible	photosensitive
perfectible	"perfectible, improvable"
cargante	"annoying, tiresome, irksome"
simiesco	apelike
descorazonador	"disheartening, discouraging"
perruno	"doggy, doggish"
*** 4711 - 4720 (/course/185945/spanish-adjectives/472/)	
plumoso	"feathery, fluffy, plumy"
adolorido	in pain
turgente	"turgid, full"
biónico	bionic
surtido	"supplied, stocked"
beréber	Berber
fileteado	"filleted, tooled"
vendible	"salable, marketable, vendible"
sinvergüenza	"scoundrel, rogue, shameless"
campante	"smug, unflappable, relaxed"
*** 4721 - 4730 (/course/185945/spanish-adjectives/473/)	
untuoso	unctuous
desaprensivo	unscrupulous
aparte	"apart, special, unusual"
grosella	dark-red
estereoscópico	stereoscopic
facsimilar	facsimile
rumboso	"generous, splendid"
inconsiderado	"inconsiderate, reckless, hasty"
azoico	azoic
cortito	"short, brief, hard of hearing"
*** 4731 - 4740 (/course/185945/spanish-adjectives/474/)	
acomodador	"adjusting, adjustment"
conservativo	"conservative, preservative"
localizable	"locatable, available, accessible"
grasoso	"oily, fatty, greasy"
carillo	priced
incivilizado	uncivilized
antirreligioso	antireligious
báquico	"Bacchic, bacchanal, bacchanalian"
bobalicón	"dumb, stupid, dopey"
melindroso	"finicky, dainty, squeamish"
*** 4741 - 4750 (/course/185945/spanish-adjectives/475/)	
injuriado	insulted
intimidante	"intimidating, adj   n"
letárgico	lethargic
gomoso	rubbery
chiita	shiite
sifilítico	syphilitic
altaico	Altaic
nervudo	sinewy
egeo	Aegean
cojonudo	"awesome, amazing, great"
*** 4751 - 4760 (/course/185945/spanish-adjectives/476/)	
enastado	horned
pasable	"passable, fair, tolerable"
pontifical	pontifical
anoréxico	anorexic
faccioso	factious
garboso	"graceful, jaunty"
millonésimo	millionth
mongólico	"Mongol, Mongolian"
inarmónico	inharmonious
pedunculado	"pedunculate, pedunculated"
*** 4761 - 4770 (/course/185945/spanish-adjectives/477/)	
aflautado	reedy
saboyano	Savoyard
acicalado	"smart, well-dressed, dressed up"
anuro	"anuran, anourous"
derrengado	beat
soslayo	oblique
estimulador	stimulating
afónico	"aphonic, voiceless, mute"
casuístico	casuistic
exclusivista	"exclusive, clannish, snobbish"
*** 4771 - 4780 (/course/185945/spanish-adjectives/478/)	
mareante	"get tight, get squiffy"
javanés	Javanese
litográfico	lithographic
mercurial	mercurial
negroide	Negroid
parsimonioso	"parsimonious, phlegmatic, unhurried"
panzudo	paunchy
precámbrico	Precambrian
pirómano	pyromaniacal
dérmico	"dermal, dermic"
*** 4781 - 4790 (/course/185945/spanish-adjectives/479/)	
bacanal	bacchanalian
catártico	cathartic
gafe	jinxed
legionario	legionary
serpenteante	meandering
pulposo	"pulpy, mushy"
limoso	"slimy, oozy"
frígido	frigid
escabechado	pickled
abochornado	ashamed
*** 4791 - 4800 (/course/185945/spanish-adjectives/480/)	
apergaminado	"shrunken, greaseproof"
burbujeante	bubbly
cretáceo	cretaceous
sonso	"dumb, stupid, dim"
oprobioso	"ignominious, opprobrious"
mucilaginoso	mucilaginous
omnidireccional	omnidirectional
saurio	saurian
vinoso	"vinous, winy"
montuoso	hilly
*** 4801 - 4810 (/course/185945/spanish-adjectives/481/)	
mutual	mutual
fisgón	"snooper, tease, snooping"
apriorístico	a priori
flameante	"blazing, flaming"
pinado	pinnate
barbitúrico	barbituric
malcriado	"misbehaving, badly behaved, ill-mannered"
juerguista	"reveller, raver"
suborbital	suborbital
ambarino	amber
*** 4811 - 4820 (/course/185945/spanish-adjectives/482/)	
chancho	"dirty, filthy"
ahíto	"full, sated, satiated"
dispendioso	wasteful
encartado	accused
vivíparo	viviparous
irreligioso	"irreligious, ungodly, godless"
gomero	"rubber, gum, Gomera"
esmirriado	"skinny, scrawny, scraggy"
mujeril	"womanly, womanish"
friolero	"chilly, shivery"
*** 4821 - 4830 (/course/185945/spanish-adjectives/483/)	
resbaloso	slippery
díptero	dipterous
elegiaco	elegiac
ponderable	ponderable
mendeliano	Mendelian
obsesionante	"obsessive, haunting, besetting"
ovíparo	oviparous
desaseado	"sleazy, untidy, scraggly"
desatento	"heedless, discourteous"
adriático	Adriatic
*** 4831 - 4840 (/course/185945/spanish-adjectives/484/)	
detractor	against
bifacial	bifacial
consultante	consulting
hidrostático	hydrostatic
incompresible	incompressible
almendrado	nutty
sustituible	replaceable
neolatino	Romance
corvo	"sagging, curved"
inoxidable	stainless
*** 4841 - 4850 (/course/185945/spanish-adjectives/485/)	
unísono	unison
defectivo	defective
bimensual	"bimonthly, twice monthly, fortnightly"
escarchado	"frosty, frosted, crystallized"
galvánico	galvanic
saturnino	saturnine
trillizo	triple
indefectible	"unfailing, indefectible"
imperdible	unmissable
argénteo	argent
*** 4851 - 4860 (/course/185945/spanish-adjectives/486/)	
aumentativo	augmentative
bóer	Boer
grávido	gravid
barrigón	"paunchy, potbellied"
caradura	"shameless, barefaced, cheeky"
cavernario	spelaean
abisinio	Abyssinian
ciliado	ciliated
higroscópico	hygroscopic
indócil	"indocile, indomitable"
*** 4861 - 4870 (/course/185945/spanish-adjectives/487/)	
enternecedor	affecting
hidrópico	"hydropic, dropsical"
particularista	particularist
revocable	revocable
petitorio	petitionary
exotérmico	"exothermic, exothermal"
hipersensible	hypersensitive
despabilado	"perky, awake"
antiespasmódico	antispasmodic
perdonable	"forgivable, pardonable"
*** 4871 - 4880 (/course/185945/spanish-adjectives/488/)	
atenido	kept
lamido	licked
mesolítico	Mesolithic
paramédico	"paramedical, paramedic"
gordinflón	"podgy, pudgy"
atigrado	"tabby, striped"
ciceroniano	Ciceronian
disociativo	dissociative
piojoso	"lousy, riddled with lice, verminous"
palúdico	"malarial, malarious, paludal"
*** 4891 - 4900 (/course/185945/spanish-adjectives/489/)	
machacón	"pest, bore, insistent"
pestífero	"pestilential, pestiferous, pestilent"
pigmentario	pigmentary
sabatino	sabbatine
utopista	Utopian
determinativo	determinative
erógeno	erogenous
abusador	abusive
albigense	Albigensian
mañanero	morning
*** 4891 - 4900 (/course/185945/spanish-adjectives/490/)	
disruptivo	disruptive
premioso	labored
objetable	objectionable
potestativo	optional
hacedero	performable
septuagésimo	seventieth
silogístico	syllogistic
testado	testate
aovado	ovate
enchilado	"hot, spicy"
*** 4901 - 4910 (/course/185945/spanish-adjectives/491/)	
indemostrable	indemonstrable
oscilatorio	oscillatory
parapléjico	paraplegic
jabonoso	soapy
odorífero	odoriferous
relamido	"prim, prim and proper, overdressed"
santurrón	goody
anabólico	anabolic
gatuno	catty
incomestible	inedible
*** 4911 - 4920 (/course/185945/spanish-adjectives/492/)	
mandón	"bossy, domineering, managing"
alotrópico	allotropic
apodíctico	apodictic
artesiano	artesian
despuntado	blunt
ególatra	"egotistical, egocentric"
epigramático	epigrammatic
desmemoriado	forgetful
gálico	Gallic
enfilado	have it in for sb
*** 4921 - 4930 (/course/185945/spanish-adjectives/493/)	
farisaico	"pharisaic, pharisaical"
sálico	Salic
inconquistable	unconquerable
vermiforme	vermiform
osco	crabby
inane	inane
mioceno	Miocene
anabaptista	Anabaptist
émulo	emulous
asoleado	sun-cure
*** 4931 - 4940 (/course/185945/spanish-adjectives/494/)	
andado	"worn, old, used"
gárrulo	garrulous
andariego	restless
chocho	senile
achispado	"tipsy, screwed"
abiótico	abiotic
áptero	apterous
apañado	"breaded, cocky, deluded"
emigratorio	emigratory
lodoso	"muddy, miry"
*** 4961 - 4970 (/course/185945/spanish-adjectives/495/)	
paleográfico	"paleographic, palaeolithic, paleolithic"
sarmentoso	sarmentose
engomado	"sticky, adhesive"
desvariado	become delirious
comatoso	comatose
ulceroso	"ulcerous, cankerous"
desmandado	"wild, obstreperous"
réprobo	reprobate
esferoidal	spheroidal
majo	"nice, hot, pleasant"
*** 5061 - 5070 (/course/185945/spanish-adjectives/496/)	
lupino	lupine
estrábico	"strabismic, strabismal"
nonagenario	nonagenarian
asexuado	sexless
tabulado	tabulate
juntito	"joined, joined together, next to"
manirroto	"extravagant, wasteful"
plumado	"fledged, feathered, plumed"
naranjado	orange
purgativo	purgative
*** 5031 - 5040 (/course/185945/spanish-adjectives/497/)	
preguntón	"nosy, inquisitive"
pupilar	pupilary
salinero	salt
macarrónico	macaronic
anisótropo	anisotropic
sabihondo	"know-it-all, smart-ass"
hombruno	"masculine, mannish"
pietista	pietistic
pluvioso	"rainy, pluvious"
resoluto	resolute
*** 5041 - 5050 (/course/185945/spanish-adjectives/498/)	
descontentadizo	restless
casposo	scurfy
semilunar	semilunar
conminatorio	"threatening, minatory"
adjetival	adjectival
incobrable	bad
basilar	basilar
insospechable	beyond suspicion
crestado	crested
délfico	"Delphic, Delphian"
*** 5071 - 5080 (/course/185945/spanish-adjectives/499/)	
abordable	approachable
gallináceo	gallinaceous
pánico	panic
antihistamínico	antihistamine
apreciativo	appreciative
autógeno	autogenous
gobernable	governable
parnasiano	Parnassian
subconsciente	subconscious
alquitranado	tarry
*** 4971 - 4980 (/course/185945/spanish-adjectives/500/)	
nodular	nodular
escamado	scale
suplicatorio	supplicatory
volteriano	Voltairian
cariado	"carious, rotten"
cuco	"cute, crafty, sly"
anulable	"defeasible, avoidable"
fregado	"mopped, washed"
sexagenario	sexagenarian
sexuado	sexed
*** 4981 - 4990 (/course/185945/spanish-adjectives/501/)	
shakesperiano	"Shakespearean, Shakespearian"
incontaminado	unpolluted
deslavazado	floppy
canallesco	"scummy, caddish, mean"
viperino	serpentine
constelado	starry
eclíptico	ecliptic
desmadejado	lanky
lesbio	lesbian
ritualista	ritualistic
*** 5101 - 5110 (/course/185945/spanish-adjectives/502/)	
microbiológico	microbiological
antihigiénico	unsanitary
insubordinado	insubordinate
yuppie	yuppie
admonitorio	admonitory
carcamal	"decrepit, ancient, over the hill"
dialógico	dialogic
chichi	easy
descocado	fresh
indeterminable	"indeterminable, undeterminable"
*** 5111 - 5120 (/course/185945/spanish-adjectives/503/)	
pelasgo	Pelasgian
prepositivo	"prepositive, prepositional"
gazmoño	priggish
incircunciso	uncircumcised
gayo	"gay, showy, merry"
azogado	"fidgety, restless"
escrofuloso	scrofulous
chiche	"beautiful, delightful, very blond"
encenagado	"depraved, muddy"
flagelante	flagellant
*** 4941 - 4950 (/course/185945/spanish-adjectives/504/)	
escurrido	narrow-hipped
cacho	"you bloody, you damn"
vocinglero	vociferous
excusable	excusable
casquivano	"feckless, harebrained"
acéfalo	headless
inmensurable	"immeasurable, measureless"
mostrenco	strayed
arrebujado	wrapped up
desafecto	"disaffected, malcontent"
*** 5091 - 5100 (/course/185945/spanish-adjectives/505/)	
mollar	mushy
peripatético	peripatetic
sudaca	South American
bígamo	bigamous
modoso	demure
salvable	"savable, salvable, saveable"
estropajoso	"tough, slovenly, sinewy"
canicular	canicular
condigno	condign
margoso	marly
*** 4951 - 4960 (/course/185945/spanish-adjectives/506/)	
incomunicable	incommunicable
monosilábico	monosyllabic
samnita	samnite
criticón	"critical, nit-picking, fault-finding"
lanoso	"woolly, wooly"
batracio	batrachian
jalado	"hasten, hotfoot it"
elogiable	"laudable, praiseworthy"
opalino	opaline
lábil	labile
*** 5131 - 5140 (/course/185945/spanish-adjectives/507/)	
concesivo	concessive
inmemorable	immemorial
interdental	interdental
sebáceo	sebaceous
apetitivo	appetitive
giboso	gibbous
maniaco	"maniac, maniacal"
sedativo	sedative
eolio	"Aeolian, Eolian"
compresible	"compressible, squeezable"
*** 4991 - 5000 (/course/185945/spanish-adjectives/508/)	
valvular	valvular
enarmónico	enharmonic
regañón	nagging
indocto	"unlearned, untutored, unlettered"
endoscópico	endoscopic
guasón	"joker, tease, witty"
causativo	causative
gabacho	"Pyrenean, French, froggy"
ceroso	waxen
engolado	haughty
*** 5081 - 5090 (/course/185945/spanish-adjectives/509/)	
alopático	allopathic
circunciso	circumcised
capitulado	decorated capital
ñoño	"drip, dull, boring"
refutable	"refutable, answerable"
azafranado	saffron
deshilvanado	scrappy
tumultuario	tumultuary
artrítico	arthritic
trifásico	"have pull, have influence, three-phase"
*** 5141 - 5150 (/course/185945/spanish-adjectives/510/)	
adulterino	"adulterine, adulterate"
redicho	"affected, stilted"
antipirético	antipyretic
guapetón	"bully, handsome"
daltónico	colour-blind
pérmico	Permian
misero	"wretched, squalid, mean"
dermatológico	dermatological
añil	indigo
penetrable	"pervious, penetrable"
*** 5151 - 5160 (/course/185945/spanish-adjectives/511/)	
prono	prone
climatérico	climacteric
amedrentador	"frightening, scaring"
cíngaro	"Gypsy, Gipsy"
puerperal	puerperal
saturnal	Saturnian
cagón	shitty
güero	"vain, fair-haired, blond"
cataléptico	cataleptic
resabiado	vicious
*** 5001 - 5010 (/course/185945/spanish-adjectives/512/)	
levítico	levitical
reparable	repairable
escaleno	scalene
aquilino	aquiline
duodenal	duodenal
extralingüístico	extralinguistic
cianhídrico	hydrocyanic
embriagante	intoxicant
parturienta	parturient
semivocal	semivocalic
*** 5161 - 5170 (/course/185945/spanish-adjectives/513/)	
dolicocéfalo	dolichocephalic
febrífugo	febrifuge
glamuroso	"glitzy, swish"
crecidito	"great, large, long"
suertudo	"lucky, fortunate, jammy"
metalífero	metalliferous
plantígrado	plantigrade
latoso	"annoying, plaguey, tedious"
alterable	alterable
angulado	angulate
*** 5011 - 5020 (/course/185945/spanish-adjectives/514/)	
enjundioso	"substantial, fat"
antipatriótico	unpatriotic
verboso	"wordy, verbose, windy"
mantecoso	"buttery, lardy, greasy"
capitular	decorated capital
diletante	"dilettante, amateur"
sentadito	"sat, seated, sitting"
agriado	"sour, turned, angry"
adversativo	adversative
circasiano	Circassian
*** 5021 - 5030 (/course/185945/spanish-adjectives/515/)	
influenciable	"manipulated, pliable, influenced"
refractivo	refractive
insincero	"disingenuous, insincere, glib"
ectópico	ectopic
paquidermo	pachydermatous
usufructuario	"usufructuary, beneficial"
gredoso	"chalky, clayey"
tabicado	cloisonne
frisio	Frisian
harinoso	"mealy, floury"
*** 5051 - 5060 (/course/185945/spanish-adjectives/516/)	
desasido	disengaged
salubre	"healthy, salubrious"
zumbador	humming
revulsivo	"revulsive, salutary lesson"
tonsurado	shaven
humoso	smoky
empollón	"swot, grind"
insociable	unsociable
cafre	"common, savage"
denotativo	denotative
*** 5181 - 5190 (/course/185945/spanish-adjectives/517/)	
ladronesco	burglarious
glaseado	"glazed, glaze"
antituberculoso	antitubercular
epigástrico	epigastric
psicopático	"psychotic, psychopathic"
valetudinario	valetudinarian
citrino	citrine
liliputiense	lilliputian
saledizo	projecting
prenupcial	antenuptial
*** 5211 - 5220 (/course/185945/spanish-adjectives/518/)	
zafado	"brazen, crazy"
pánfilo	gullible
hipersónico	hypersonic
impudente	impudent
intemperante	intemperate
pancromático	panchromatic
pelágico	pelagic
rácano	"scrooge, stingy, tight"
yemenita	Yemeni
emético	emetic
*** 5121 - 5130 (/course/185945/spanish-adjectives/519/)	
sensiblero	"maudlin, soppy, sentimental"
multifloro	multiflorous
aceitunado	olive
operable	operable
gorrón	"pebble, cobblestone, parasite"
afelpado	"plush, plushy"
brilloso	shiny
sigmoideo	sigmoid
canijo	"weak, frail, sickly"
respondón	zappy
*** 5171 - 5180 (/course/185945/spanish-adjectives/520/)	
crucífero	cruciferous
seboso	"greasy, tallowy, filthy"
desabrigado	naked
partitivo	partitive
perspicuo	perspicuous
probabilista	probabilist
patizambo	bandy
disléxico	dyslexic
perifrástico	periphrastic
redondito	"round, circular, rotund"
*** 5191 - 5200 (/course/185945/spanish-adjectives/521/)	
aguardentoso	beery
desfachatado	cheeky
debilucho	dicky
intestado	intestate
pudibundo	prudish
suavizante	"softening, conditioning"
tembleque	"trembling, shaking"
varicoso	varicose
conductivo	conductive
digestible	digestible
*** 5201 - 5210 (/course/185945/spanish-adjectives/522/)	
chungo	"dodgy, bad, crap"
marchoso	"lively, trendy, party goer"
proconsular	proconsular
retornable	returnable
rético	Rhetic
sabeo	"Sabean, Sabaean"
sulfurado	sulphuretted
vanaglorioso	vainglorious
quejica	"whinging, whining, moaning"
braquicéfalo	brachycephalic
*** 5221 - 5230 (/course/185945/spanish-adjectives/523/)	
sobrecalentado	overheated
palmípedo	palmiped
inculpable	innocent
isócrono	isochronous
